code,X,Y
249,19301,66493
875,19461,68478
845,15555,59925
3488,21099,61749
189,20046,70999
634,19775,66907
388,24240,73029
654,20513,71242
579,21098,77677
1130,22729,77831
295,25258,70708
1166,20304,64639
605,24308,76244
743,19371,64417
267,18330,67703
47,23974,73249
3572,22384,66944
1285,25719,75949
664,24404,77148
88,19380,65173
1094,17381,63628
580,19938,72799
1085,13178,57105
1264,19256,63946
3766,20958,61294
1374,19180,60510
1139,22762,75741
768,15658,61272
1198,19218,58239
3656,21757,59336
1207,22709,76073
585,24171,74366
1230,24661,75214
2023,18753,58757
380,26078,78299
715,20109,70013
1271,18227,58650
7000,18956,65096
52,18932,62158
595,20947,76315
1171,23384,75416
1255,20832,43333
674,21089,77387
24,18507,60772
1310,20320,64717
1173,22482,76267
1060,18735,58141
2055,20079,70341
102,19757,72192
771,21011,62547
3569,21674,70291
3709,20356,63942
4204,26168,73804
1141,19891,64897
1318,18782,70108
1080,16719,59544
829,14357,57236
573,15991,61459
1015,21443,63412
516,22413,75847
4201,27216,79676
481,23890,75473
689,19642,73727
65,24757,74922
874,22309,73150
3561,21357,61642
1722,22617,76449
3751,23246,66631
586,21711,72064
375,20338,69911
695,14543,57893
1155,22915,71410
722,19061,66151
2029,21515,72230
1140,17909,52918
897,19192,69429
1200,20130,64473
3797,20359,64873
1360,19718,57373
269,24163,72136
208,21502,63345
635,22807,71334
1163,23720,75844
1178,22217,74795
606,19310,66207
28,18524,64000
1879,20010,69530
1880,20020,68950
104,22714,72850
517,20954,76542
3599,24868,69685
1411,17100,64600
1418,16800,51800
1413,21700,73000
1416,19300,42700
1415,16900,57000
1196,20572,58396
1414,17400,62900
1417,20300,56900
1412,18300,63800
308,25363,76606
776,20077,62837
43,25415,79817
822,20596,62505
1128,21416,71229
2054,22850,71685
649,20416,70564
4019,26926,74150
1282,23991,70654
607,24147,76580
731,17681,63624
1268,19423,58159
3614,23999,67414
1343,20610,57735
382,18831,70142
1202,23099,75686
164,22254,71884
2044,16151,58878
596,24804,77844
1154,23910,70498
2030,17894,61842
1174,22245,75096
1205,21854,77151
48,25234,73022
347,25117,78903
994,21845,73467
1258,23987,74991
263,25639,73220
298,24480,71130
742,20115,63441
748,16092,58159
4203,27098,79298
939,18230,56730
197,19126,69668
1082,16183,58958
678,25656,73472
694,19236,71802
272,25200,71103
3657,21564,59129
570,22473,76901
416,25699,79388
290,19467,71935
518,22441,77018
3616,22904,63187
3608,23828,66422
1127,23961,70917
4008,26439,75504
286,21059,63610
3752,22285,66240
3651,22906,64293
1327,21471,71756
3653,22185,61153
3637,20679,67475
1063,22635,76889
344,20287,70696
1876,19340,69710
1877,19360,68670
1878,18600,68190
230,18972,66352
668,15841,60127
1767,17723,59444
1791,21120,66808
1706,25371,78870
1739,19589,70599
1717,22240,73008
1729,19626,65732
1745,19054,70103
1775,23507,54880
1753,17731,63443
1773,21880,55100
1769,14571,57816
1701,19969,63099
1761,17646,62586
1776,20837,52818
1711,25543,73441
1719,24901,71149
3745,21074,58587
325,21503,77427
757,18810,64598
58,24804,74397
1222,21907,74911
1370,20672,70748
3576,23741,63591
1190,23626,74534
99,18102,50379
3610,23812,60837
648,20469,70512
22,17948,65963
843,25119,79109
4101,27277,78212
1340,18348,53307
97,22998,72328
66,22912,72352
1713,23843,73425
1708,24150,76699
1723,22458,75152
1747,19457,65531
1705,25357,78066
1715,19670,72800
1098,17225,62273
421,17951,54587
765,17540,63647
378,25151,79474
520,23058,73839
3605,24663,66892
620,17065,62348
3785,24677,68921
670,19495,64208
563,19069,63671
732,25634,76779
395,17315,58585
130,21364,72399
729,18347,65747
194,19113,69590
213,19877,71030
425,19265,68163
791,16437,61845
1315,19761,67391
1184,23375,77178
3648,20308,64848
4551,26511,74368
1124,23612,53853
1770,17843,56106
408,25605,78503
1197,20224,44008
524,23699,72443
396,18879,57013
315,16995,61890
3724,19842,60012
309,17212,61462
80,21873,73287
9100,20946,76817
4304,27359,74881
55,17108,61476
1366,13645,56377
926,19716,71014
590,25220,72164
4303,26951,79642
405,20779,63503
1702,20883,63482
296,25023,71092
3725,21368,62048
1057,23475,56239
1314,21752,77020
1279,20333,43880
312,19377,73169
686,19449,67534
858,19303,67108
827,17558,63485
1071,20058,62006
1259,19806,63612
15,17999,60850
1333,19904,64177
3790,20976,67334
1284,21394,74052
257,19267,66117
3726,22317,61702
447,19046,69131
833,23404,71629
59,19571,61534
1883,22910,74310
844,15227,59807
1861,25250,72450
2045,18061,61848
3767,21333,65346
449,19186,66291
809,20041,63043
522,22999,75999
433,19282,72439
777,19590,63762
705,19532,66313
1147,23057,77439
4014,27081,75106
1369,19304,59850
174,17891,65027
1254,20650,63769
523,23298,72632
3655,20452,65228
351,16505,62760
1419,16564,62721
1195,14459,53307
1280,14229,53514
851,20057,69025
359,16542,62512
808,19536,67822
553,17682,62001
720,17005,63699
256,24304,71229
11,17298,61304
165,22328,71942
402,13878,57210
699,16560,62178
2047,16495,59852
69,14307,58018
348,16013,60324
769,19941,73390
2048,16644,59767
331,18716,65111
602,14241,58297
1236,19875,67262
3620,24323,65270
1748,18933,65702
4035,27040,79445
825,20561,62807
1143,21160,76346
7200,18103,64825
186,18723,69785
3787,20620,65221
3713,24431,64600
158,18665,64345
1982,,
1981,,
1971,,
1970,,
1984,,
1983,,
1975,,
1974,,
1980,,
1978,,
1979,0,0
1977,,
1976,,
1973,,
1972,,
1041,21000,57000
1372,18714,63654
435,18349,64786
7300,22794,73415
1061,23050,73479
2500,20426,74162
3555,24214,65510
693,19841,62174
1242,15634,60906
792,21302,76655
246,16063,59231
7400,18726,69145
525,23240,76080
578,23722,77023
587,18859,66157
2046,17923,61979
942,21483,74364
989,23203,75699
526,23166,72352
3756,21087,58890
1238,13730,57206
7500,22825,75219
1170,19220,57760
1245,23480,75532
3567,20490,68321
1156,20187,41600
3777,19078,58574
419,15573,59779
454,21056,77044
1176,21758,50257
610,18541,64420
4501,25864,79728
892,21721,77253
376,20970,76629
794,19175,62283
1762,16814,63004
1199,21656,74307
2035,19122,67188
826,17768,61129
528,23078,74396
737,19886,69317
666,18571,57523
810,19858,72534
